run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,q,br17.atsp,R1,linear,0.15,0.75,3917,66.0,5 -> 3 -> 6 -> 4 -> 14 -> 15 -> 0 -> 1 -> 2 -> 9 -> 11 -> 12 -> 13 -> 10 -> 7 -> 8 -> 16 -> 5,0.5850440000649542,2.4796000463618164e-06,4.2383137782568834e-06,42.5,10.0,6.903322221478449e-06,1.6233538891861422e-06,8.52667611066459e-06
1,q,br17.atsp,R2,linear,0.15,0.75,33,39.0,5 -> 6 -> 14 -> 15 -> 9 -> 1 -> 10 -> 12 -> 2 -> 13 -> 11 -> 0 -> 8 -> 7 -> 16 -> 3 -> 4 -> 5,0.5828736000694335,2.4693541784556974e-06,4.236517451058928e-06,42.5,10.0,6.875220277450151e-06,1.6162230555589003e-06,8.49144333300905e-06
1,q,br17.atsp,R3,linear,0.15,0.75,34,39.0,15 -> 5 -> 6 -> 14 -> 10 -> 1 -> 9 -> 12 -> 2 -> 13 -> 11 -> 0 -> 16 -> 7 -> 8 -> 3 -> 4 -> 15,0.6751800999045372,2.8601933114598196e-06,4.236193145894286e-06,42.5,10.0,7.963147082450128e-06,1.8722866668314155e-06,9.835433749281543e-06
1,q,br17.atsp,R1,convex,0.15,0.75,1928,66.0,14 -> 15 -> 3 -> 5 -> 4 -> 6 -> 12 -> 11 -> 9 -> 13 -> 10 -> 2 -> 1 -> 0 -> 7 -> 8 -> 16 -> 14,0.6095736999996006,2.583055015902421e-06,4.23747779128941e-06,42.5,10.0,7.191531250363268e-06,1.6908986112361567e-06,8.882429861599425e-06
1,q,br17.atsp,R2,convex,0.15,0.75,30,39.0,7 -> 8 -> 16 -> 12 -> 1 -> 9 -> 10 -> 13 -> 2 -> 11 -> 0 -> 5 -> 6 -> 14 -> 15 -> 3 -> 4 -> 7,0.6104942997917533,2.5873757112197153e-06,4.2381652246422276e-06,42.5,10.0,7.203463124137165e-06,1.6938244438885401e-06,8.897287568025705e-06
1,q,br17.atsp,R3,convex,0.15,0.75,23,39.0,16 -> 4 -> 3 -> 14 -> 5 -> 6 -> 15 -> 9 -> 1 -> 10 -> 12 -> 13 -> 2 -> 0 -> 11 -> 7 -> 8 -> 16,0.6316944998688996,2.67779714377492e-06,4.239069905358783e-06,42.5,10.0,7.4552036099097075e-06,1.753018888929445e-06,9.208222498839152e-06
1,q,br17.atsp,R1,concave,0.15,0.75,297,82.0,6 -> 14 -> 10 -> 11 -> 12 -> 13 -> 9 -> 2 -> 0 -> 1 -> 8 -> 5 -> 3 -> 15 -> 4 -> 7 -> 16 -> 6,0.6844140000175685,2.8987237221987285e-06,4.235336685287443e-06,42.5,10.0,8.070466666605272e-06,1.8974627782073286e-06,9.9679294448126e-06
1,q,br17.atsp,R2,concave,0.15,0.75,41,39.0,14 -> 5 -> 6 -> 15 -> 10 -> 1 -> 9 -> 12 -> 13 -> 2 -> 0 -> 11 -> 16 -> 7 -> 8 -> 3 -> 4 -> 14,0.6673024999909103,2.828717023186743e-06,4.2390325575361615e-06,42.5,10.0,7.875708056801362e-06,1.8514872224639274e-06,9.72719527926529e-06
1,q,br17.atsp,R3,concave,0.15,0.75,37,39.0,3 -> 4 -> 14 -> 5 -> 6 -> 15 -> 10 -> 1 -> 9 -> 12 -> 13 -> 2 -> 0 -> 11 -> 8 -> 7 -> 16 -> 3,0.726608500117436,3.0793078920799e-06,4.2379188952265425e-06,42.5,10.0,8.573114167827751e-06,2.0157955554572656e-06,1.0588909723285017e-05
1,q,br17.atsp,R1,step,0.15,0.75,1812,71.0,11 -> 10 -> 0 -> 1 -> 2 -> 9 -> 13 -> 12 -> 7 -> 14 -> 15 -> 3 -> 5 -> 4 -> 6 -> 16 -> 8 -> 11,0.6417757999151945,2.7196482045024465e-06,4.237692048939561e-06,42.5,10.0,7.571843681055018e-06,1.7802933334476419e-06,9.35213701450266e-06
1,q,br17.atsp,R2,step,0.15,0.75,22,39.0,15 -> 5 -> 6 -> 14 -> 4 -> 3 -> 16 -> 7 -> 8 -> 1 -> 9 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 15,0.6420701998285949,2.7189842397412244e-06,4.234714896388395e-06,42.5,10.0,7.569905207815788e-06,1.779948610864166e-06,9.349853818679954e-06
1,q,br17.atsp,R3,step,0.15,0.75,36,39.0,4 -> 3 -> 14 -> 5 -> 6 -> 15 -> 10 -> 1 -> 9 -> 12 -> 2 -> 13 -> 0 -> 11 -> 8 -> 7 -> 16 -> 4,0.6711246999911964,2.8415771466223383e-06,4.234052399888744e-06,42.5,10.0,7.911913332645781e-06,1.8595044442918153e-06,9.771417776937597e-06
