run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,sarsa,br17.atsp,R1,linear,0.15,0.75,517,66.0,15 -> 14 -> 3 -> 6 -> 4 -> 5 -> 1 -> 13 -> 9 -> 0 -> 10 -> 2 -> 12 -> 11 -> 16 -> 7 -> 8 -> 15,0.5444879999849945,2.3052998895520238e-06,4.233885576202883e-06,42.5,10.0,6.418399581646857e-06,1.5089052774581231e-06,7.92730485910498e-06
1,sarsa,br17.atsp,R2,linear,0.15,0.75,140,39.0,6 -> 5 -> 15 -> 14 -> 4 -> 3 -> 8 -> 16 -> 7 -> 9 -> 12 -> 1 -> 10 -> 2 -> 13 -> 11 -> 0 -> 6,0.5991509000305086,2.538298652442723e-06,4.236493097671177e-06,42.5,10.0,7.066910626114502e-06,1.661614166934871e-06,8.728524793049373e-06
1,sarsa,br17.atsp,R3,linear,0.15,0.75,5814,39.0,6 -> 15 -> 14 -> 5 -> 1 -> 12 -> 10 -> 9 -> 2 -> 13 -> 0 -> 11 -> 8 -> 7 -> 16 -> 4 -> 3 -> 6,0.5618046999443322,2.380847272525336e-06,4.237855740190938e-06,42.5,10.0,6.62859277686544e-06,1.558499166276306e-06,8.187091943141746e-06
1,sarsa,br17.atsp,R1,convex,0.15,0.75,1673,63.0,6 -> 4 -> 14 -> 15 -> 3 -> 5 -> 10 -> 13 -> 2 -> 9 -> 0 -> 1 -> 11 -> 12 -> 16 -> 7 -> 8 -> 6,0.6014574998989701,2.5482332373876397e-06,4.236763591468523e-06,42.5,10.0,7.09452381916991e-06,1.6681633333468603e-06,8.76268715251677e-06
1,sarsa,br17.atsp,R2,convex,0.15,0.75,23,39.0,10 -> 1 -> 12 -> 9 -> 14 -> 5 -> 6 -> 15 -> 3 -> 4 -> 16 -> 7 -> 8 -> 0 -> 11 -> 2 -> 13 -> 10,0.5497009998653084,2.329123442899099e-06,4.237073324352325e-06,42.5,10.0,6.484444581534869e-06,1.5247830551945502e-06,8.00922763672942e-06
1,sarsa,br17.atsp,R3,convex,0.15,0.75,3373,39.0,5 -> 14 -> 15 -> 6 -> 4 -> 3 -> 16 -> 7 -> 8 -> 10 -> 1 -> 9 -> 12 -> 2 -> 13 -> 11 -> 0 -> 5,0.5588845999445766,2.366408017015463e-06,4.2341621459065695e-06,42.5,10.0,6.588478680674194e-06,1.5489605552930798e-06,8.137439235967273e-06
1,sarsa,br17.atsp,R1,concave,0.15,0.75,296,71.0,11 -> 12 -> 13 -> 10 -> 0 -> 1 -> 2 -> 9 -> 16 -> 15 -> 6 -> 3 -> 14 -> 4 -> 5 -> 7 -> 8 -> 11,0.5702738999389112,2.416947583726016e-06,4.238222341904345e-06,42.5,10.0,6.729337847920963e-06,1.5818933335443338e-06,8.311231181465297e-06
1,sarsa,br17.atsp,R2,concave,0.15,0.75,47,39.0,3 -> 4 -> 15 -> 5 -> 14 -> 6 -> 1 -> 12 -> 9 -> 10 -> 13 -> 2 -> 0 -> 11 -> 16 -> 8 -> 7 -> 3,0.5697393999435008,2.4141410731623065e-06,4.237272467731228e-06,42.5,10.0,6.721088126101273e-06,1.5804922221125e-06,8.301580348213773e-06
1,sarsa,br17.atsp,R3,concave,0.15,0.75,2066,40.0,5 -> 6 -> 15 -> 14 -> 3 -> 4 -> 8 -> 7 -> 16 -> 11 -> 0 -> 1 -> 2 -> 13 -> 12 -> 9 -> 10 -> 5,0.6267633000388741,2.655718925398462e-06,4.23719596414427e-06,42.5,10.0,7.393749791178077e-06,1.738551666494459e-06,9.132301457672535e-06
1,sarsa,br17.atsp,R1,step,0.15,0.75,558,66.0,5 -> 14 -> 4 -> 6 -> 3 -> 15 -> 9 -> 2 -> 1 -> 11 -> 12 -> 13 -> 10 -> 0 -> 7 -> 8 -> 16 -> 5,0.5858539999462664,2.48205102752065e-06,4.236637503112208e-06,42.5,10.0,6.910385485550958e-06,1.6247188885851454e-06,8.535104374136103e-06
1,sarsa,br17.atsp,R2,step,0.15,0.75,53,39.0,6 -> 5 -> 14 -> 15 -> 3 -> 4 -> 16 -> 7 -> 8 -> 1 -> 10 -> 12 -> 9 -> 13 -> 2 -> 0 -> 11 -> 6,0.603700099978596,2.558274068011044e-06,4.237657187901323e-06,42.5,10.0,7.122685973364343e-06,1.6745288888665124e-06,8.797214862230856e-06
1,sarsa,br17.atsp,R3,step,0.15,0.75,4622,39.0,16 -> 8 -> 7 -> 9 -> 10 -> 12 -> 1 -> 13 -> 2 -> 11 -> 0 -> 15 -> 14 -> 6 -> 5 -> 4 -> 3 -> 16,0.5831294001545757,2.4705217005374363e-06,4.236661193694833e-06,42.5,10.0,6.878550626667372e-06,1.6169075000410278e-06,8.4954581267084e-06
