run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,double,br17.atsp,R1,linear,0.15,0.75,1966,66.0,7 -> 11 -> 12 -> 13 -> 1 -> 2 -> 10 -> 16 -> 0 -> 9 -> 8 -> 14 -> 3 -> 4 -> 15 -> 5 -> 6 -> 7,0.6756237000226974,2.8638201342185794e-06,4.238779862403243e-06,42.5,10.0,7.972832359761622e-06,1.8750730552710593e-06,9.847905415032681e-06
1,double,br17.atsp,R2,linear,0.15,0.75,49,39.0,7 -> 16 -> 8 -> 9 -> 12 -> 1 -> 10 -> 2 -> 13 -> 0 -> 11 -> 5 -> 14 -> 15 -> 6 -> 4 -> 3 -> 7,0.7351000001654029,3.112767754037004e-06,4.234482047798406e-06,42.5,10.0,8.666293057063337e-06,2.0376761114069572e-06,1.0703969168470294e-05
1,double,br17.atsp,R3,linear,0.15,0.75,43,42.0,16 -> 8 -> 7 -> 10 -> 1 -> 9 -> 11 -> 0 -> 13 -> 2 -> 12 -> 15 -> 14 -> 6 -> 5 -> 4 -> 3 -> 16,0.71789769991301,3.041208680195506e-06,4.2362702660337525e-06,42.5,10.0,8.46739069319382e-06,1.990506111178547e-06,1.0457896804372366e-05
1,double,br17.atsp,R1,convex,0.15,0.75,2451,66.0,10 -> 11 -> 12 -> 13 -> 1 -> 2 -> 9 -> 0 -> 6 -> 3 -> 15 -> 14 -> 4 -> 5 -> 7 -> 16 -> 8 -> 10,0.7560013998299837,3.2026968365025076e-06,4.236363632690043e-06,42.5,10.0,8.916654651693534e-06,2.096556388359103e-06,1.1013211040052637e-05
1,double,br17.atsp,R2,convex,0.15,0.75,202,39.0,16 -> 8 -> 7 -> 1 -> 10 -> 9 -> 12 -> 13 -> 2 -> 11 -> 0 -> 5 -> 6 -> 15 -> 14 -> 3 -> 4 -> 16,0.6888063000515103,2.9182629912214307e-06,4.236696137946469e-06,42.5,10.0,8.124767501107677e-06,1.9103522224920906e-06,1.0035119723599767e-05
1,double,br17.atsp,R3,convex,0.15,0.75,2303,40.0,0 -> 11 -> 1 -> 12 -> 9 -> 2 -> 13 -> 10 -> 7 -> 8 -> 16 -> 3 -> 4 -> 5 -> 6 -> 15 -> 14 -> 0,0.7978435000404716,3.3824407618009895e-06,4.239478997609696e-06,42.5,10.0,9.416857221610069e-06,2.214444722307639e-06,1.1631301943917708e-05
1,double,br17.atsp,R1,concave,0.15,0.75,263,73.0,5 -> 8 -> 10 -> 11 -> 12 -> 13 -> 9 -> 0 -> 2 -> 1 -> 7 -> 16 -> 14 -> 4 -> 6 -> 3 -> 15 -> 5,0.6962858999613672,2.951023183894834e-06,4.2382348745803535e-06,42.5,10.0,8.21565375048926e-06,1.9321194442454726e-06,1.0147773194734732e-05
1,double,br17.atsp,R2,concave,0.15,0.75,153,39.0,6 -> 5 -> 15 -> 14 -> 0 -> 11 -> 13 -> 2 -> 1 -> 12 -> 9 -> 10 -> 8 -> 7 -> 16 -> 3 -> 4 -> 6,0.6692469001282007,2.836984831216685e-06,4.239070559270776e-06,42.5,10.0,7.898156319828963e-06,1.8574697224216327e-06,9.755626042250596e-06
1,double,br17.atsp,R3,concave,0.15,0.75,63,40.0,8 -> 16 -> 7 -> 0 -> 11 -> 10 -> 1 -> 2 -> 13 -> 9 -> 12 -> 14 -> 15 -> 5 -> 6 -> 3 -> 4 -> 8,0.7136119999922812,4.093859502398512e-08,5.736814266636202e-08,42.5,10.0,8.418337430986059e-06,1.9791488884948194e-06,1.0397486319480878e-05
1,double,br17.atsp,R1,step,0.15,0.75,4247,66.0,7 -> 14 -> 4 -> 5 -> 3 -> 6 -> 15 -> 11 -> 10 -> 0 -> 1 -> 2 -> 9 -> 13 -> 12 -> 16 -> 8 -> 7,0.7038835000712425,2.9818444952623716e-06,4.236275598107597e-06,42.5,10.0,8.301783542426873e-06,1.9519758333141607e-06,1.0253759375741033e-05
1,double,br17.atsp,R2,step,0.15,0.75,1629,39.0,6 -> 14 -> 5 -> 15 -> 11 -> 0 -> 13 -> 2 -> 9 -> 1 -> 10 -> 12 -> 16 -> 8 -> 7 -> 3 -> 4 -> 6,0.7367328000254929,3.1233532566799166e-06,4.239465456908991e-06,42.5,10.0,8.695412636734546e-06,2.044957221692635e-06,1.074036985842718e-05
1,double,br17.atsp,R3,step,0.15,0.75,5176,41.0,14 -> 5 -> 0 -> 11 -> 2 -> 13 -> 1 -> 9 -> 12 -> 10 -> 7 -> 8 -> 16 -> 15 -> 6 -> 3 -> 4 -> 14,0.7220449999440461,3.0584231855749994e-06,4.235779190787289e-06,42.5,10.0,8.515032013949369e-06,2.002060833749258e-06,1.0517092847698626e-05
