run_index,algorithm,instance,r_type,e_type,gamma,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,GPU_Power_W,RAM_Power_W,CPU_Energy_Wh,GPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh,Water_Consumed_L
1,sarsa,br17.atsp,R1,convex,0.01,9520,58.0,0 -> 1 -> 13 -> 2 -> 9 -> 11 -> 10 -> 16 -> 12 -> 7 -> 8 -> 6 -> 4 -> 3 -> 15 -> 5 -> 14 -> 0,0.6618618000065908,2.697945035248867e-06,4.0762966456471745e-06,130.0,9.639621758213291,10.0,2.3832379998121827e-05,1.7691680820053346e-06,1.8310894442644591e-06,2.743263752439162e-05,0.0
1,sarsa,br17.atsp,R1,convex,0.15,1121,57.0,14 -> 4 -> 3 -> 5 -> 6 -> 16 -> 7 -> 10 -> 0 -> 2 -> 13 -> 1 -> 12 -> 11 -> 8 -> 9 -> 15 -> 14,0.556215799995698,2.2867000037965995e-06,4.111174123090868e-06,130.0,11.39393862828074,10.0,1.9965706943831822e-05,1.7550014039940942e-06,1.5304000000469387e-06,2.3251108347872854e-05,0.0
1,sarsa,br17.atsp,R1,convex,0.3,9371,65.0,6 -> 14 -> 4 -> 5 -> 3 -> 15 -> 11 -> 9 -> 10 -> 0 -> 13 -> 1 -> 2 -> 12 -> 16 -> 7 -> 8 -> 6,0.5327851999318227,2.1960782425877063e-06,4.121882970601896e-06,130.0,11.238188642136544,10.0,1.9194496388728214e-05,1.6602791060027489e-06,1.474893055597527e-06,2.232966855032849e-05,0.0
1,sarsa,br17.atsp,R1,convex,0.45,7204,48.0,13 -> 1 -> 10 -> 11 -> 9 -> 0 -> 15 -> 6 -> 5 -> 3 -> 4 -> 14 -> 7 -> 16 -> 8 -> 12 -> 2 -> 13,0.5389901000307873,2.193887030618531e-06,4.070366098548407e-06,130.0,9.54292069964002,10.0,1.9392107221776515e-05,1.4250011400041007e-06,1.4902800001436843e-06,2.23073883619243e-05,0.0
1,sarsa,berlin52.tsp,R1,convex,0.01,9964,8621.0,15 -> 49 -> 19 -> 22 -> 30 -> 17 -> 21 -> 0 -> 48 -> 31 -> 35 -> 34 -> 33 -> 38 -> 39 -> 37 -> 36 -> 47 -> 23 -> 4 -> 14 -> 45 -> 43 -> 5 -> 3 -> 24 -> 11 -> 27 -> 26 -> 25 -> 46 -> 12 -> 13 -> 51 -> 10 -> 50 -> 32 -> 42 -> 9 -> 8 -> 7 -> 40 -> 18 -> 44 -> 2 -> 16 -> 20 -> 29 -> 28 -> 41 -> 6 -> 1 -> 15,2.5075412000296637,1.0284817540851677e-05,4.1015547583944025e-06,130.0,10.214802508482988,10.0,9.05032736129619e-05,7.112227911998392e-06,6.960265555729469e-06,0.00010457576708068976,0.0
1,sarsa,berlin52.tsp,R1,convex,0.15,9863,8749.0,3 -> 5 -> 23 -> 47 -> 4 -> 14 -> 37 -> 39 -> 36 -> 38 -> 35 -> 27 -> 26 -> 25 -> 46 -> 12 -> 13 -> 51 -> 10 -> 50 -> 11 -> 24 -> 45 -> 43 -> 33 -> 34 -> 48 -> 31 -> 20 -> 30 -> 17 -> 21 -> 0 -> 22 -> 19 -> 49 -> 15 -> 28 -> 29 -> 41 -> 6 -> 1 -> 16 -> 2 -> 44 -> 18 -> 40 -> 7 -> 9 -> 8 -> 42 -> 32 -> 3,2.8414578000083566,1.1645167703580946e-05,4.098307461594783e-06,130.0,10.322138409290018,10.0,0.0001024003102757787,8.138617621999966e-06,7.868845555478604e-06,0.00011840777345325727,0.0
1,sarsa,berlin52.tsp,R1,convex,0.3,9927,8827.0,17 -> 30 -> 21 -> 0 -> 48 -> 31 -> 35 -> 34 -> 33 -> 38 -> 39 -> 37 -> 23 -> 47 -> 4 -> 14 -> 5 -> 3 -> 24 -> 45 -> 36 -> 43 -> 15 -> 49 -> 19 -> 22 -> 29 -> 41 -> 6 -> 1 -> 20 -> 16 -> 2 -> 18 -> 44 -> 40 -> 7 -> 8 -> 9 -> 42 -> 32 -> 50 -> 11 -> 27 -> 26 -> 25 -> 46 -> 12 -> 13 -> 51 -> 10 -> 28 -> 17,2.9277251000748947,1.2314142968633862e-05,4.206044812171352e-06,130.0,14.039810594789989,10.0,0.00010566908444549577,1.1413898020007363e-05,8.126914722379296e-06,0.00012520989718788243,0.0
1,sarsa,berlin52.tsp,R1,convex,0.45,9938,8814.0,38 -> 35 -> 34 -> 33 -> 36 -> 39 -> 37 -> 23 -> 47 -> 4 -> 14 -> 5 -> 3 -> 24 -> 45 -> 43 -> 15 -> 49 -> 19 -> 22 -> 30 -> 17 -> 21 -> 0 -> 48 -> 31 -> 44 -> 18 -> 40 -> 7 -> 8 -> 9 -> 42 -> 32 -> 50 -> 11 -> 27 -> 26 -> 25 -> 10 -> 51 -> 12 -> 13 -> 46 -> 28 -> 29 -> 20 -> 16 -> 1 -> 6 -> 41 -> 2 -> 38,2.674092600005679,1.0969113538318481e-05,4.1019946498095046e-06,130.0,10.243373127289384,10.0,9.650572388749828e-05,7.6058394179873146e-06,7.422108333169793e-06,0.0001115336716386554,0.0
