run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,q,br17.atsp,R1,linear,0.15,0.75,5386,58.0,7 -> 12 -> 1 -> 0 -> 9 -> 13 -> 10 -> 2 -> 11 -> 8 -> 16 -> 5 -> 15 -> 4 -> 3 -> 6 -> 14 -> 7,0.5830028001219034,2.468968983310736e-06,4.234917881688536e-06,42.5,10.0,6.874240417123979e-06,1.6158783336221757e-06,8.490118750746155e-06
1,q,br17.atsp,R2,linear,0.15,0.75,5198,39.0,0 -> 11 -> 2 -> 13 -> 1 -> 9 -> 10 -> 12 -> 5 -> 6 -> 14 -> 15 -> 3 -> 4 -> 7 -> 16 -> 8 -> 0,0.5203799000009894,2.204434236640555e-06,4.236201737685032e-06,42.5,10.0,6.1376575699089e-06,1.4427975001227525e-06,7.580455070031652e-06
1,q,br17.atsp,R3,linear,0.15,0.75,3833,39.0,1 -> 9 -> 12 -> 10 -> 5 -> 6 -> 14 -> 15 -> 3 -> 4 -> 8 -> 7 -> 16 -> 0 -> 11 -> 2 -> 13 -> 1,0.65981540014036,2.795248841147215e-06,4.2364104271476425e-06,42.5,10.0,7.782231668049159e-06,1.8298755555103223e-06,9.61210722355948e-06
1,q,br17.atsp,R1,convex,0.15,0.75,1034,59.0,2 -> 0 -> 7 -> 1 -> 9 -> 11 -> 16 -> 14 -> 5 -> 15 -> 3 -> 4 -> 6 -> 8 -> 12 -> 10 -> 13 -> 2,0.4762148999143392,2.0170031638058647e-06,4.235489406502569e-06,42.5,10.0,5.61601374890112e-06,1.3199163891840727e-06,6.935930138085193e-06
1,q,br17.atsp,R2,convex,0.15,0.75,9427,39.0,12 -> 1 -> 6 -> 5 -> 14 -> 15 -> 3 -> 4 -> 7 -> 8 -> 16 -> 0 -> 11 -> 2 -> 13 -> 9 -> 10 -> 12,0.46787580009549856,1.983128986156711e-06,4.238579951670791e-06,42.5,10.0,5.521328473049734e-06,1.2981174998761465e-06,6.8194459729258805e-06
1,q,br17.atsp,R3,convex,0.15,0.75,9463,39.0,3 -> 4 -> 5 -> 6 -> 14 -> 15 -> 0 -> 11 -> 2 -> 13 -> 1 -> 9 -> 10 -> 12 -> 7 -> 8 -> 16 -> 3,0.48941759997978806,2.073390434965397e-06,4.236444367858908e-06,42.5,10.0,5.772537707525771e-06,1.3572930552375813e-06,7.129830762763352e-06
1,q,br17.atsp,R1,concave,0.15,0.75,2129,65.0,15 -> 6 -> 3 -> 5 -> 4 -> 14 -> 0 -> 1 -> 11 -> 13 -> 9 -> 12 -> 2 -> 10 -> 7 -> 8 -> 16 -> 15,0.6327096000313759,2.680383471458091e-06,4.236356570731931e-06,42.5,10.0,7.462613959958415e-06,1.7545022225628298e-06,9.217116182521245e-06
1,q,br17.atsp,R2,concave,0.15,0.75,759,39.0,8 -> 7 -> 16 -> 0 -> 11 -> 13 -> 2 -> 1 -> 9 -> 10 -> 12 -> 6 -> 5 -> 15 -> 14 -> 3 -> 4 -> 8,0.6555516000371426,2.776487172926842e-06,4.23534497172996e-06,42.5,10.0,7.730406459530869e-06,1.817184444775598e-06,9.547590904306467e-06
1,q,br17.atsp,R3,concave,0.15,0.75,1278,39.0,16 -> 7 -> 8 -> 0 -> 11 -> 2 -> 13 -> 1 -> 9 -> 10 -> 12 -> 5 -> 6 -> 14 -> 15 -> 3 -> 4 -> 16,0.6539060999639332,2.7707961998272425e-06,4.237299820234232e-06,42.5,10.0,7.714223404440823e-06,1.8137977775445003e-06,9.528021181985324e-06
1,q,br17.atsp,R1,step,0.15,0.75,9901,59.0,8 -> 16 -> 0 -> 1 -> 2 -> 9 -> 11 -> 10 -> 13 -> 12 -> 7 -> 5 -> 3 -> 4 -> 6 -> 14 -> 15 -> 8,0.6193343000486493,2.6237842957940016e-06,4.23645888107263e-06,42.5,10.0,7.305026319550558e-06,1.7174605558264173e-06,9.022486875376976e-06
1,q,br17.atsp,R2,step,0.15,0.75,6455,39.0,1 -> 9 -> 15 -> 5 -> 6 -> 14 -> 3 -> 4 -> 7 -> 8 -> 16 -> 0 -> 11 -> 2 -> 13 -> 10 -> 12 -> 1,0.5535802999511361,2.344534311276315e-06,4.235219915671248e-06,42.5,10.0,6.527514792105649e-06,1.5347066665223488e-06,8.062221458627998e-06
1,q,br17.atsp,R3,step,0.15,0.75,6244,39.0,13 -> 2 -> 1 -> 9 -> 10 -> 12 -> 6 -> 14 -> 5 -> 15 -> 4 -> 3 -> 7 -> 16 -> 8 -> 0 -> 11 -> 13,0.6064171998295933,2.5677773324615755e-06,4.234341198078049e-06,42.5,10.0,7.149139860282756e-06,1.68075416651037e-06,8.829894026793126e-06
