run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,sarsa,br17.atsp,R1,linear,0.15,0.75,5221,63.0,1 -> 13 -> 10 -> 0 -> 11 -> 7 -> 12 -> 2 -> 9 -> 8 -> 6 -> 14 -> 4 -> 3 -> 15 -> 5 -> 16 -> 1,0.4294921001419425,1.8200366565603037e-06,4.237648738961208e-06,42.5,10.0,5.0672395843624445e-06,1.1913758333927641e-06,6.258615417755209e-06
1,sarsa,br17.atsp,R2,linear,0.15,0.75,5984,39.0,5 -> 6 -> 15 -> 14 -> 3 -> 4 -> 8 -> 16 -> 7 -> 10 -> 1 -> 12 -> 9 -> 2 -> 13 -> 11 -> 0 -> 5,0.40306619997136295,1.7076951511414181e-06,4.236760986812456e-06,42.5,10.0,4.7545304877631785e-06,1.1177727777976543e-06,5.872303265560832e-06
1,sarsa,br17.atsp,R3,linear,0.15,0.75,9689,40.0,5 -> 6 -> 15 -> 14 -> 4 -> 3 -> 8 -> 7 -> 16 -> 1 -> 12 -> 10 -> 2 -> 13 -> 9 -> 0 -> 11 -> 5,0.4120414999779314,1.7443810697276013e-06,4.233508202016129e-06,42.5,10.0,4.856959027367541e-06,1.1414972224479748e-06,5.998456249815516e-06
1,sarsa,br17.atsp,R1,convex,0.15,0.75,212,58.0,2 -> 13 -> 9 -> 0 -> 8 -> 4 -> 3 -> 14 -> 15 -> 6 -> 5 -> 7 -> 10 -> 16 -> 11 -> 12 -> 1 -> 2,0.29862489993683994,1.2625092682450269e-06,4.227742792084824e-06,42.5,10.0,3.5159187496497507e-06,8.255102775163121e-07,4.3414290271660625e-06
1,sarsa,br17.atsp,R2,convex,0.15,0.75,9675,39.0,6 -> 15 -> 5 -> 14 -> 10 -> 12 -> 9 -> 1 -> 2 -> 13 -> 0 -> 11 -> 16 -> 8 -> 7 -> 4 -> 3 -> 6,0.3498140999581665,1.4810163082172078e-06,4.233723879038379e-06,42.5,10.0,4.12377027710641e-06,9.690455555553651e-07,5.092815832661775e-06
1,sarsa,br17.atsp,R3,convex,0.15,0.75,9425,50.0,14 -> 6 -> 5 -> 7 -> 8 -> 16 -> 1 -> 10 -> 2 -> 9 -> 11 -> 0 -> 13 -> 12 -> 15 -> 3 -> 4 -> 14,0.3056894999463111,1.295225214756875e-06,4.237061511711583e-06,42.5,10.0,3.606815625486585e-06,8.471147221927014e-07,4.4539303476792864e-06
1,sarsa,br17.atsp,R1,concave,0.15,0.75,1359,63.0,5 -> 3 -> 14 -> 4 -> 6 -> 15 -> 1 -> 0 -> 9 -> 2 -> 13 -> 10 -> 11 -> 12 -> 7 -> 16 -> 8 -> 5,0.5068134998437017,2.147603062759804e-06,4.2374622290489735e-06,42.5,10.0,5.979167983686138e-06,1.4058599998760553e-06,7.3850279835621935e-06
1,sarsa,br17.atsp,R2,concave,0.15,0.75,1049,39.0,3 -> 4 -> 7 -> 8 -> 16 -> 12 -> 9 -> 10 -> 1 -> 2 -> 13 -> 0 -> 11 -> 5 -> 6 -> 14 -> 15 -> 3,0.5470812998246402,2.318181844405425e-06,4.237362609814096e-06,42.5,10.0,6.45398270684786e-06,1.5176197222899646e-06,7.971602429137824e-06
1,sarsa,br17.atsp,R3,concave,0.15,0.75,3866,39.0,14 -> 5 -> 15 -> 6 -> 4 -> 3 -> 16 -> 7 -> 8 -> 1 -> 10 -> 12 -> 9 -> 13 -> 2 -> 0 -> 11 -> 14,0.5866089998744428,2.48414631827928e-06,4.234756573477366e-06,42.5,10.0,6.916290625425367e-06,1.62601888878271e-06,8.542309514208077e-06
1,sarsa,br17.atsp,R1,step,0.15,0.75,6271,59.0,7 -> 0 -> 1 -> 13 -> 10 -> 11 -> 9 -> 2 -> 12 -> 8 -> 16 -> 15 -> 3 -> 4 -> 5 -> 14 -> 6 -> 7,0.3987076999619603,1.688615373598087e-06,4.2352213758580374e-06,42.5,10.0,4.701992221008469e-06,1.104700833093375e-06,5.806693054101844e-06
1,sarsa,br17.atsp,R2,step,0.15,0.75,6177,39.0,15 -> 14 -> 5 -> 6 -> 3 -> 4 -> 16 -> 8 -> 7 -> 12 -> 10 -> 9 -> 1 -> 2 -> 13 -> 11 -> 0 -> 15,0.445233799982816,1.8848150648944991e-06,4.233315316508415e-06,42.5,10.0,5.247934234567867e-06,1.2334366665325232e-06,6.48137090110039e-06
1,sarsa,br17.atsp,R3,step,0.15,0.75,8756,40.0,5 -> 6 -> 14 -> 15 -> 11 -> 0 -> 9 -> 13 -> 2 -> 10 -> 12 -> 1 -> 8 -> 7 -> 16 -> 4 -> 3 -> 5,0.42125360015779734,1.7842486989115426e-06,4.23556902123372e-06,42.5,10.0,4.967980834448503e-06,1.1675694446441615e-06,6.1355502790926645e-06
