run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,double,br17.atsp,R1,linear,0.15,0.75,1528,66.0,11 -> 12 -> 13 -> 1 -> 2 -> 9 -> 0 -> 10 -> 14 -> 5 -> 3 -> 6 -> 4 -> 15 -> 8 -> 16 -> 7 -> 11,0.70316749997437,2.979703866592621e-06,4.237544918815545e-06,42.5,10.0,8.295433331093389e-06,1.950964999721489e-06,1.0246398330814877e-05
1,double,br17.atsp,R2,linear,0.15,0.75,829,39.0,4 -> 3 -> 6 -> 5 -> 15 -> 14 -> 0 -> 11 -> 2 -> 13 -> 1 -> 10 -> 12 -> 9 -> 8 -> 7 -> 16 -> 4,0.6542090000584722,2.7729086560073783e-06,4.238566965235178e-06,42.5,10.0,7.720022293506192e-06,1.8152630558082212e-06,9.535285349314413e-06
1,double,br17.atsp,R3,linear,0.15,0.75,1687,39.0,4 -> 5 -> 6 -> 15 -> 14 -> 0 -> 11 -> 2 -> 13 -> 9 -> 1 -> 12 -> 10 -> 8 -> 7 -> 16 -> 3 -> 4,1.8895326999481767,8.009704375402324e-06,4.238986906986051e-06,42.5,10.0,2.229871465242468e-05,5.244499444314796e-06,2.7543214096739476e-05
1,double,br17.atsp,R1,convex,0.15,0.75,793,59.0,7 -> 0 -> 9 -> 13 -> 1 -> 2 -> 10 -> 11 -> 12 -> 8 -> 15 -> 4 -> 3 -> 6 -> 14 -> 5 -> 16 -> 7,2.1622146000154316,9.157978472300478e-06,4.2354623228587566e-06,42.5,10.0,2.5498139443031204e-05,5.9936797220466866e-06,3.149181916507789e-05
1,double,br17.atsp,R2,convex,0.15,0.75,51,39.0,3 -> 5 -> 15 -> 14 -> 6 -> 12 -> 1 -> 9 -> 10 -> 13 -> 2 -> 11 -> 0 -> 8 -> 16 -> 7 -> 4 -> 3,2.6265116999857128,1.1133668222378492e-05,4.238956263716265e-06,42.5,10.0,3.0995320833042375e-05,7.2903627775506016e-06,3.8285683610592975e-05
1,double,br17.atsp,R3,convex,0.15,0.75,2973,39.0,5 -> 14 -> 6 -> 15 -> 0 -> 11 -> 2 -> 13 -> 1 -> 9 -> 10 -> 12 -> 8 -> 16 -> 7 -> 4 -> 3 -> 5,2.7231191000901163,1.1542954026135392e-05,4.2388722644387465e-06,42.5,10.0,3.2134697432532754e-05,7.558409722211461e-06,3.969310715474421e-05
1,double,br17.atsp,R1,concave,0.15,0.75,2697,66.0,15 -> 6 -> 3 -> 5 -> 4 -> 14 -> 0 -> 1 -> 2 -> 10 -> 11 -> 12 -> 13 -> 9 -> 7 -> 16 -> 8 -> 15,2.5777422999963164,1.0925823103804217e-05,4.238524193756618e-06,42.5,10.0,3.0416829723172772e-05,7.154130555378895e-06,3.7570960278551664e-05
1,double,br17.atsp,R2,concave,0.15,0.75,685,39.0,16 -> 7 -> 8 -> 1 -> 9 -> 12 -> 10 -> 2 -> 13 -> 0 -> 11 -> 15 -> 6 -> 5 -> 14 -> 3 -> 4 -> 16,2.554264800157398,1.0825671194807401e-05,4.238272865890923e-06,42.5,10.0,3.013812180627914e-05,7.088443056111121e-06,3.722656486239026e-05
1,double,br17.atsp,R3,concave,0.15,0.75,46,42.0,5 -> 6 -> 11 -> 0 -> 12 -> 1 -> 9 -> 13 -> 2 -> 10 -> 16 -> 8 -> 7 -> 14 -> 15 -> 4 -> 3 -> 5,0.6443332999479026,2.7312559682305708e-06,4.238886874931663e-06,42.5,10.0,7.60408937365153e-06,1.787963611099662e-06,9.392052984751192e-06
1,double,br17.atsp,R1,step,0.15,0.75,360,66.0,0 -> 1 -> 2 -> 9 -> 11 -> 12 -> 13 -> 10 -> 6 -> 3 -> 14 -> 5 -> 4 -> 15 -> 16 -> 7 -> 8 -> 0,0.6380398001056165,2.7039125843814405e-06,4.23784313131227e-06,42.5,10.0,7.527799514355139e-06,1.7702269445483883e-06,9.298026458903527e-06
1,double,br17.atsp,R2,step,0.15,0.75,145,39.0,6 -> 14 -> 15 -> 5 -> 10 -> 1 -> 12 -> 9 -> 2 -> 13 -> 0 -> 11 -> 16 -> 8 -> 7 -> 4 -> 3 -> 6,0.7077562999911606,2.9980186446504406e-06,4.235947662617604e-06,42.5,10.0,8.347172359774251e-06,1.9622055554969445e-06,1.0309377915271196e-05
1,double,br17.atsp,R3,step,0.15,0.75,2152,39.0,5 -> 14 -> 15 -> 6 -> 11 -> 0 -> 2 -> 13 -> 1 -> 9 -> 10 -> 12 -> 8 -> 7 -> 16 -> 3 -> 4 -> 5,0.6923609999939799,3.9705003380120224e-08,5.734725581086378e-08,42.5,10.0,8.164495556815786e-06,1.919686111311118e-06,1.0084181668126904e-05
