run_index,algorithm,instance,r_type,e_type,gamma,alpha,BestEpisode,BestDistance,BestPath,Duration_sec,Emissions_kgCO2,EmissionsRate_kgCO2_per_sec,CPU_Power_W,RAM_Power_W,CPU_Energy_Wh,RAM_Energy_Wh,Total_Energy_Wh
1,q,br17.atsp,R1,linear,0.15,0.75,2638,65.0,12 -> 2 -> 9 -> 10 -> 0 -> 1 -> 13 -> 11 -> 14 -> 6 -> 3 -> 15 -> 4 -> 5 -> 7 -> 8 -> 16 -> 12,0.5714093002025038,2.4218413672553487e-06,4.238365330065618e-06,42.5,10.0,6.7428020834793445e-06,1.5852575002807295e-06,8.328059583760074e-06
1,q,br17.atsp,R2,linear,0.15,0.75,30,39.0,6 -> 5 -> 14 -> 15 -> 3 -> 4 -> 7 -> 8 -> 16 -> 9 -> 1 -> 10 -> 12 -> 13 -> 2 -> 11 -> 0 -> 6,0.5990552001167089,2.5369895654861594e-06,4.2349846307851085e-06,42.5,10.0,7.0631104177058065e-06,1.6609127782026514e-06,8.724023195908457e-06
1,q,br17.atsp,R3,linear,0.15,0.75,29,39.0,6 -> 5 -> 12 -> 1 -> 9 -> 10 -> 13 -> 2 -> 11 -> 0 -> 8 -> 7 -> 16 -> 4 -> 3 -> 14 -> 15 -> 6,2.314736899919808,9.8126997977574e-06,4.239229001834874e-06,42.5,10.0,2.731790208231865e-05,6.425327221707752e-06,3.37432293040264e-05
1,q,br17.atsp,R1,convex,0.15,0.75,4430,63.0,7 -> 0 -> 11 -> 9 -> 13 -> 1 -> 2 -> 10 -> 8 -> 12 -> 16 -> 6 -> 3 -> 4 -> 5 -> 14 -> 15 -> 7,2.347996400203556,9.954383386841124e-06,4.2395224225974725e-06,42.5,10.0,2.7711825138572343e-05,6.518615833354286e-06,3.423044097192663e-05
1,q,br17.atsp,R2,convex,0.15,0.75,45,39.0,1 -> 9 -> 10 -> 12 -> 6 -> 5 -> 15 -> 14 -> 4 -> 3 -> 7 -> 8 -> 16 -> 0 -> 11 -> 13 -> 2 -> 1,1.826298699947074,7.740668977172918e-06,4.238446305304407e-06,42.5,10.0,2.155021999965862e-05,5.067853888936547e-06,2.6618073888595168e-05
1,q,br17.atsp,R3,convex,0.15,0.75,39,39.0,4 -> 3 -> 5 -> 6 -> 14 -> 15 -> 1 -> 9 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 7 -> 8 -> 16 -> 4,2.0721479000058025,8.783944132020769e-06,4.239052691169473e-06,42.5,10.0,2.445429812311583e-05,5.75131777764505e-06,3.020561590076088e-05
1,q,br17.atsp,R1,concave,0.15,0.75,410,66.0,15 -> 5 -> 3 -> 14 -> 4 -> 6 -> 11 -> 9 -> 2 -> 10 -> 0 -> 1 -> 13 -> 12 -> 7 -> 8 -> 16 -> 15,2.5919186000246555,1.0988927101581083e-05,4.23968835343693e-06,42.5,10.0,3.059197930431563e-05,7.195978611060935e-06,3.778795791537657e-05
1,q,br17.atsp,R2,concave,0.15,0.75,30,39.0,15 -> 5 -> 6 -> 14 -> 3 -> 4 -> 8 -> 7 -> 16 -> 9 -> 1 -> 10 -> 12 -> 2 -> 13 -> 0 -> 11 -> 15,2.44273449992761,1.0355197252388717e-05,4.2391824623984275e-06,42.5,10.0,2.8827865693246065e-05,6.78086611118892e-06,3.5608731804434984e-05
1,q,br17.atsp,R3,concave,0.15,0.75,29,39.0,12 -> 1 -> 9 -> 10 -> 14 -> 5 -> 6 -> 15 -> 3 -> 4 -> 7 -> 8 -> 16 -> 0 -> 11 -> 2 -> 13 -> 12,3.0231679000426084,1.2814596813030839e-05,4.238797591377651e-06,42.5,10.0,3.567457555683278e-05,8.391368333508986e-06,4.406594389034177e-05
1,q,br17.atsp,R1,step,0.15,0.75,1411,63.0,6 -> 3 -> 5 -> 4 -> 14 -> 15 -> 1 -> 2 -> 10 -> 11 -> 0 -> 9 -> 13 -> 12 -> 7 -> 8 -> 16 -> 6,2.7978581998031586,1.185833321868129e-05,4.238361050433355e-06,42.5,10.0,3.3012763956018416e-05,7.764847222198215e-06,4.077761117821663e-05
1,q,br17.atsp,R2,step,0.15,0.75,31,39.0,14 -> 5 -> 6 -> 15 -> 12 -> 1 -> 9 -> 10 -> 2 -> 13 -> 11 -> 0 -> 16 -> 7 -> 8 -> 3 -> 4 -> 14,2.684894399950281,1.5410731588311546e-07,5.739790581185213e-08,42.5,10.0,3.1688152290816004e-05,7.451654722293218e-06,3.9139807013109224e-05
1,q,br17.atsp,R3,step,0.15,0.75,32,39.0,14 -> 5 -> 6 -> 15 -> 9 -> 1 -> 10 -> 12 -> 13 -> 2 -> 0 -> 11 -> 7 -> 8 -> 16 -> 3 -> 4 -> 14,2.3067608000710607,1.323773936373469e-07,5.738670157446275e-08,42.5,10.0,2.721853590240547e-05,6.402357500175843e-06,3.362089340258131e-05
